#OBJECT = ASxtw
#MJD-OBS = 58844.350729
#DATE-OBS = 2019-12-27T08:25:03
#EXPTIME = 2420.000000
#AIRMASS = 2.197000
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
4083.060000 4.033940e-16 4.232327e-34
4085.060000 4.004523e-16 4.264200e-34
4087.060000 3.979395e-16 4.896126e-34
4089.060000 3.430875e-16 5.788846e-34
4091.060000 3.567211e-16 5.853818e-34
4093.060000 3.760143e-16 4.971146e-34
4095.060000 3.448350e-16 4.264327e-34
4097.060000 3.520565e-16 4.156473e-34
4099.060000 3.949379e-16 4.662666e-34
4101.060000 4.164522e-16 5.617449e-34
4103.060000 3.649849e-16 5.988476e-34
4105.060000 4.177803e-16 5.399350e-34
4107.060000 4.071650e-16 4.477368e-34
4109.060000 4.092296e-16 4.146142e-34
4111.060000 4.171514e-16 4.400093e-34
4113.060000 4.113663e-16 5.051903e-34
4115.060000 4.142439e-16 5.654568e-34
4117.060000 4.114969e-16 5.246447e-34
4119.060000 4.173311e-16 4.374075e-34
4121.060000 4.014787e-16 3.948552e-34
4123.060000 3.660821e-16 4.064135e-34
4125.060000 3.428374e-16 4.639458e-34
4127.060000 4.122135e-16 5.448971e-34
4129.060000 4.199127e-16 5.223838e-34
4131.060000 4.328830e-16 4.289537e-34
4133.060000 4.402533e-16 3.766310e-34
4135.060000 4.520389e-16 3.765813e-34
4137.060000 4.687239e-16 4.279726e-34
4139.060000 4.802228e-16 5.083991e-34
4141.060000 4.670097e-16 5.166294e-34
4143.060000 4.860174e-16 4.335580e-34
4145.060000 4.738819e-16 3.666639e-34
4147.060000 4.641661e-16 3.511991e-34
4149.060000 4.566999e-16 3.867047e-34
4151.060000 4.392595e-16 4.607156e-34
4153.060000 4.398439e-16 4.966122e-34
4155.060000 4.844864e-16 4.467248e-34
4157.060000 5.068352e-16 3.789251e-34
4159.060000 4.875153e-16 3.494918e-34
4161.060000 4.592918e-16 3.687312e-34
4163.060000 4.547732e-16 4.297061e-34
4165.060000 4.561451e-16 4.722637e-34
4167.060000 4.702872e-16 4.421523e-34
4169.060000 4.569609e-16 3.719466e-34
4171.060000 4.741915e-16 3.397051e-34
4173.060000 5.119787e-16 3.527085e-34
4175.060000 5.423078e-16 4.081641e-34
4177.060000 5.208919e-16 4.860843e-34
4179.060000 4.747451e-16 4.687594e-34
4181.060000 4.303357e-16 3.830833e-34
4183.060000 4.067488e-16 3.351224e-34
4185.060000 4.098960e-16 3.324585e-34
4187.060000 4.300082e-16 3.750181e-34
4189.060000 4.441664e-16 4.481480e-34
4191.060000 4.223403e-16 4.590375e-34
4193.060000 4.277915e-16 3.913591e-34
4195.060000 4.017952e-16 3.390961e-34
4197.060000 3.867497e-16 3.242756e-34
4199.060000 3.942347e-16 3.536126e-34
4201.060000 4.179201e-16 4.209299e-34
4203.060000 4.334907e-16 4.622628e-34
4205.060000 4.042145e-16 4.104325e-34
4207.060000 3.771626e-16 3.466251e-34
4209.060000 3.643113e-16 3.208382e-34
4211.060000 3.726419e-16 3.408409e-34
4213.060000 4.051088e-16 4.026902e-34
4215.060000 4.650690e-16 4.586403e-34
4217.060000 4.704357e-16 4.270257e-34
4219.060000 4.124818e-16 3.638879e-34
4221.060000 3.982454e-16 3.294167e-34
4223.060000 3.920578e-16 3.374073e-34
4225.060000 3.747848e-16 3.848489e-34
4227.060000 3.705276e-16 4.509098e-34
4229.060000 3.992818e-16 4.543638e-34
4231.060000 4.087216e-16 3.747659e-34
4233.060000 4.019861e-16 3.253225e-34
4235.060000 3.906732e-16 3.184775e-34
4237.060000 3.755474e-16 3.538349e-34
4239.060000 3.523969e-16 4.163190e-34
4241.060000 3.745195e-16 4.350710e-34
4243.060000 3.899083e-16 3.801729e-34
4245.060000 4.299654e-16 3.292000e-34
4247.060000 4.353677e-16 3.118309e-34
4249.060000 4.194932e-16 3.369860e-34
4251.060000 4.134191e-16 4.013915e-34
4253.060000 3.793453e-16 4.353723e-34
4255.060000 3.868277e-16 3.924640e-34
4257.060000 4.103577e-16 3.295876e-34
4259.060000 4.029130e-16 3.054493e-34
4261.060000 3.790801e-16 3.225704e-34
4263.060000 3.635923e-16 3.711036e-34
4265.060000 3.763802e-16 4.165261e-34
4267.060000 4.072562e-16 3.951763e-34
4269.060000 4.369452e-16 3.303903e-34
4271.060000 4.174619e-16 2.950116e-34
4273.060000 3.911217e-16 3.001343e-34
4275.060000 3.754178e-16 3.446653e-34
4277.060000 3.471030e-16 4.053587e-34
4279.060000 3.580914e-16 4.070584e-34
4281.060000 3.824442e-16 3.413967e-34
4283.060000 3.979455e-16 2.974659e-34
4285.060000 4.092975e-16 2.933905e-34
4287.060000 4.153812e-16 3.309467e-34
4289.060000 4.094889e-16 3.914623e-34
4291.060000 3.553006e-16 4.055855e-34
4293.060000 3.112359e-16 3.454360e-34
4295.060000 3.315727e-16 2.961501e-34
4297.060000 3.609435e-16 2.817065e-34
4299.060000 3.696089e-16 3.065204e-34
4301.060000 3.466609e-16 3.607464e-34
4303.060000 3.264168e-16 3.971080e-34
4305.060000 3.198716e-16 3.738302e-34
4307.060000 3.218943e-16 3.134815e-34
4309.060000 3.494511e-16 2.886005e-34
4311.060000 3.755114e-16 3.030178e-34
4313.060000 3.743883e-16 3.506682e-34
4315.060000 3.374595e-16 4.025912e-34
4317.060000 3.627451e-16 3.931687e-34
4319.060000 3.623581e-16 3.280056e-34
4321.060000 3.875514e-16 2.924318e-34
4323.060000 4.146956e-16 2.944260e-34
4325.060000 4.155163e-16 3.323500e-34
4327.060000 3.655064e-16 3.896700e-34
4329.060000 3.842440e-16 3.981207e-34
4331.060000 3.413739e-16 3.377480e-34
4333.060000 3.163592e-16 2.941667e-34
4335.060000 3.430958e-16 2.872167e-34
4337.060000 3.856952e-16 3.200522e-34
4339.060000 3.790148e-16 3.806290e-34
4341.060000 3.736847e-16 4.109633e-34
4343.060000 3.766609e-16 3.582509e-34
4345.060000 3.904016e-16 3.080086e-34
4347.060000 3.656068e-16 2.894809e-34
4349.060000 3.223553e-16 3.098042e-34
4351.060000 2.974277e-16 3.580198e-34
4353.060000 3.109228e-16 3.996872e-34
4355.060000 3.789196e-16 3.790048e-34
4357.060000 3.729011e-16 3.170995e-34
4359.060000 3.750910e-16 2.861095e-34
4361.060000 3.932310e-16 2.948075e-34
4363.060000 4.213688e-16 3.385334e-34
4365.060000 4.456967e-16 3.968353e-34
4367.060000 4.106511e-16 3.866770e-34
4369.060000 3.557909e-16 3.167140e-34
4371.060000 3.701451e-16 2.822124e-34
4373.060000 3.978798e-16 2.823712e-34
4375.060000 4.015762e-16 3.168102e-34
4377.060000 3.735645e-16 3.792644e-34
4379.060000 4.083294e-16 3.908557e-34
4381.060000 4.370725e-16 3.319306e-34
4383.060000 4.239988e-16 2.865080e-34
4385.060000 3.859181e-16 2.750271e-34
4387.060000 3.570196e-16 3.011885e-34
4389.060000 3.693480e-16 3.599645e-34
4391.060000 3.725448e-16 3.888604e-34
4393.060000 4.064765e-16 3.448040e-34
4395.060000 4.375674e-16 2.949565e-34
4397.060000 4.432137e-16 2.726302e-34
4399.060000 4.245314e-16 2.874890e-34
4401.060000 3.999212e-16 3.337076e-34
4403.060000 4.215717e-16 3.824973e-34
4405.060000 4.020695e-16 3.596452e-34
4407.060000 3.820660e-16 2.998946e-34
4409.060000 3.888691e-16 2.700126e-34
4411.060000 4.041793e-16 2.775498e-34
4413.060000 4.128750e-16 3.193394e-34
4415.060000 4.150134e-16 3.728604e-34
4417.060000 4.121631e-16 3.742609e-34
4419.060000 4.201769e-16 3.167936e-34
4421.060000 4.369441e-16 2.797233e-34
4423.060000 4.377873e-16 2.753427e-34
4425.060000 4.170727e-16 3.036472e-34
4427.060000 3.887457e-16 3.600437e-34
4429.060000 4.039201e-16 3.755875e-34
4431.060000 4.252354e-16 3.294046e-34
4433.060000 4.425894e-16 2.825147e-34
4435.060000 4.326352e-16 2.680047e-34
4437.060000 4.018657e-16 2.894967e-34
4439.060000 3.709249e-16 3.379242e-34
4441.060000 3.548425e-16 3.641501e-34
4443.060000 3.666667e-16 3.334363e-34
4445.060000 3.630968e-16 2.825383e-34
4447.060000 3.723182e-16 2.616117e-34
4449.060000 3.738653e-16 2.773309e-34
4451.060000 3.505122e-16 3.247426e-34
4453.060000 3.218530e-16 3.622253e-34
4455.060000 3.468105e-16 3.359856e-34
4457.060000 3.757308e-16 2.824677e-34
4459.060000 3.675897e-16 2.523662e-34
4461.060000 3.439724e-16 2.569564e-34
4463.060000 3.299348e-16 2.944849e-34
4465.060000 3.450915e-16 3.578907e-34
4467.060000 3.646367e-16 3.556644e-34
4469.060000 3.606917e-16 2.932071e-34
4471.060000 3.654091e-16 2.542976e-34
4473.060000 3.786788e-16 2.510083e-34
4475.060000 3.893988e-16 2.837619e-34
4477.060000 3.804916e-16 3.401508e-34
4479.060000 3.578285e-16 3.526272e-34
4481.060000 3.518094e-16 3.029866e-34
4483.060000 3.399787e-16 2.585625e-34
4485.060000 3.311258e-16 2.454178e-34
4487.060000 3.449362e-16 2.669292e-34
4489.060000 3.859531e-16 3.170064e-34
4491.060000 3.566308e-16 3.465922e-34
4493.060000 3.289300e-16 3.183627e-34
4495.060000 3.359606e-16 2.707649e-34
4497.060000 3.519440e-16 2.503895e-34
4499.060000 3.775609e-16 2.640418e-34
4501.060000 4.011818e-16 3.062099e-34
4503.060000 3.679318e-16 3.495641e-34
4505.060000 3.685028e-16 3.372971e-34
4507.060000 3.605803e-16 2.818295e-34
4509.060000 3.576895e-16 2.508890e-34
4511.060000 3.598255e-16 2.541824e-34
4513.060000 3.623594e-16 2.903861e-34
4515.060000 3.565739e-16 3.489046e-34
4517.060000 3.620664e-16 3.494659e-34
4519.060000 3.866848e-16 2.973276e-34
4521.060000 3.850445e-16 2.573221e-34
4523.060000 3.758421e-16 2.495222e-34
4525.060000 3.740817e-16 2.752399e-34
4527.060000 3.849872e-16 3.303255e-34
4529.060000 3.309755e-16 3.458823e-34
4531.060000 3.417785e-16 3.062824e-34
4533.060000 3.554684e-16 2.659470e-34
