# OBJECT: AT2019zeu
# TELESCOPE: MMT
# INSTRUMENT: BC
# DATE-OBS: 2020-02-19
# MJD: 58898.32140046
# EXPTIME: 2100
# SLIT: 1.0x180
# DISPERSER: 300GPM
# SOURCE: FLEET
# FILTER: CLEAR
# FLUX_STANDARD: BD332642
# EXTINCTION_CORRECTED: NO
# PHOTOMETRY_CALIBRATED: NO
# FLUX_UNITS: erg/cm2/s/A
# QUALITY: 
# COMMENT: 
Wavelength Flux Sigma
3.360946026999999958e+03 2.679121999999999972e-16 3.211289000000000293e-17
3.362870273999999881e+03 3.473865999999999816e-16 3.725239000000000243e-17
3.364794538000000102e+03 3.113674999999999758e-16 3.696038999999999813e-17
3.366718819000000167e+03 3.033496999999999937e-16 3.574529999999999730e-17
3.368643116000000191e+03 5.973574999999999647e-16 3.495202999999999782e-17
3.370567430999999942e+03 2.927432000000000155e-16 3.624817000000000023e-17
3.372491762000000108e+03 3.486426000000000064e-16 3.341515999999999869e-17
3.374416110000000117e+03 1.913921999999999884e-16 3.133131000000000034e-17
3.376340474000000086e+03 4.933402999999999910e-16 4.259721000000000139e-17
3.378264854999999898e+03 2.910716000000000220e-16 3.592096999999999784e-17
3.380189253000000008e+03 5.183560000000000358e-16 4.404043999999999767e-17
3.382113667999999961e+03 1.833355999999999907e-16 3.310922000000000200e-17
3.384038100000000213e+03 4.964263000000000376e-16 4.211302999999999847e-17
3.385962547999999970e+03 3.263218000000000165e-16 3.629479000000000068e-17
3.387887013000000024e+03 3.754297000000000231e-16 4.266143999999999908e-17
3.389811494999999923e+03 2.683202999999999850e-16 3.477041000000000233e-17
3.391735992999999780e+03 2.436022999999999845e-16 3.423415000000000207e-17
3.393660507999999936e+03 3.928174999999999977e-16 3.588245999999999788e-17
3.395585039999999935e+03 4.722532000000000472e-16 4.140012999999999974e-17
3.397509588999999778e+03 5.039467000000000365e-16 4.557547000000000144e-17
3.399434154000000035e+03 3.168331999999999790e-16 3.285879000000000140e-17
3.401358737000000019e+03 3.733501000000000238e-16 3.745546000000000022e-17
3.403283335000000079e+03 4.657205999999999931e-16 3.894840999999999966e-17
3.405207950999999866e+03 3.630973000000000162e-16 3.729345999999999754e-17
3.407132583000000068e+03 3.757304000000000203e-16 3.707751999999999960e-17
3.409057232000000113e+03 4.083490999999999837e-16 3.818371000000000249e-17
3.410981898000000001e+03 2.600128999999999795e-16 3.379463999999999939e-17
3.412906581000000187e+03 4.649985000000000360e-16 4.009500999999999940e-17
3.414831279999999879e+03 3.353607999999999943e-16 4.217216000000000225e-17
3.416755995999999868e+03 3.364230000000000040e-16 3.591391999999999756e-17
3.418680727999999817e+03 2.629780999999999827e-16 3.300267000000000005e-17
3.420605477000000064e+03 3.636464000000000097e-16 3.606640999999999913e-17
3.422530243000000155e+03 3.749001000000000194e-16 3.974014999999999727e-17
3.424455026000000089e+03 3.264283000000000213e-16 3.484624000000000079e-17
3.426379825999999866e+03 2.286816000000000081e-16 3.597384999999999906e-17
3.428304642000000058e+03 3.447304999999999916e-16 3.540339999999999760e-17
3.430229474000000209e+03 3.498510000000000222e-16 3.552329999999999956e-17
3.432154324000000088e+03 3.055524000000000167e-16 3.255612000000000145e-17
3.434079189999999926e+03 2.697195999999999958e-16 3.238558000000000174e-17
3.436004073000000062e+03 2.038379999999999903e-16 2.806896000000000167e-17
3.437928973000000042e+03 3.645799000000000178e-16 3.579706000000000295e-17
3.439853888999999981e+03 2.576486999999999932e-16 2.935727000000000249e-17
3.441778822000000218e+03 4.078418999999999899e-16 3.552586000000000088e-17
3.443703771999999844e+03 3.342996000000000019e-16 3.364354999999999845e-17
3.445628737999999885e+03 2.958405999999999818e-16 2.676831000000000082e-17
3.447553721000000223e+03 2.210534999999999986e-16 2.974863000000000284e-17
3.449478720999999950e+03 4.480088999999999581e-16 3.593519000000000145e-17
3.451403737000000092e+03 3.281818000000000112e-16 3.190289000000000173e-17
3.453328770999999961e+03 2.642675999999999912e-16 2.687874000000000062e-17
3.455253819999999905e+03 3.843438000000000056e-16 3.528416999999999827e-17
3.457178887000000032e+03 3.572513999999999817e-16 3.214268000000000129e-17
3.459103970000000118e+03 3.074970000000000148e-16 3.757591999999999996e-17
3.461029070000000047e+03 2.774746000000000103e-16 2.848204999999999706e-17
3.462954185999999936e+03 3.571573000000000124e-16 3.338596999999999708e-17
3.464879319000000123e+03 3.497260999999999775e-16 3.371398999999999975e-17
3.466804469000000154e+03 1.884311999999999931e-16 3.101463000000000212e-17
3.468729636000000028e+03 3.822680999999999943e-16 3.637676000000000303e-17
3.470654818999999861e+03 3.580038000000000055e-16 3.376808999999999702e-17
3.472580018999999993e+03 3.872526999999999886e-16 3.227547999999999799e-17
3.474505235000000084e+03 3.346219000000000052e-16 3.228450000000000105e-17
3.476430468999999903e+03 4.122976999999999844e-16 3.505255000000000073e-17
3.478355717999999797e+03 2.516681000000000021e-16 2.211176999999999894e-17
3.480280984999999873e+03 4.012744999999999890e-16 3.039201000000000103e-17
3.482206267999999909e+03 5.758505999999999702e-16 3.973790000000000177e-17
3.484131567999999788e+03 2.923958999999999773e-16 2.802131000000000178e-17
3.486056884000000082e+03 3.251468999999999843e-16 3.482778000000000251e-17
3.487982217000000219e+03 4.359103000000000123e-16 3.236976000000000270e-17
3.489907567000000199e+03 4.931622999999999909e-16 3.831650000000000100e-17
3.491832934000000023e+03 2.333296999999999919e-16 2.922324999999999740e-17
3.493758316999999806e+03 5.467301999999999753e-16 3.940481999999999799e-17
3.495683716000000004e+03 2.688794000000000023e-16 3.077149000000000173e-17
3.497609132999999929e+03 3.534001000000000151e-16 3.384878999999999998e-17
3.499534565999999813e+03 2.695220000000000239e-16 3.219964000000000133e-17
3.501460015999999996e+03 3.914367999999999909e-16 3.150051999999999915e-17
3.503385482000000138e+03 4.595327999999999835e-16 3.509333999999999696e-17
3.505310965000000124e+03 3.204220000000000227e-16 2.956807000000000139e-17
3.507236464000000069e+03 2.042906000000000029e-16 2.498988000000000034e-17
3.509161981000000196e+03 2.603559999999999850e-16 2.763351000000000142e-17
3.511087512999999944e+03 3.052794999999999940e-16 3.162959000000000181e-17
3.513013062999999875e+03 2.983607000000000028e-16 2.904847000000000302e-17
3.514938629000000219e+03 3.727258000000000108e-16 2.689741999999999935e-17
3.516864211999999952e+03 3.073247000000000238e-16 2.940839000000000010e-17
3.518789811000000100e+03 2.555299000000000011e-16 3.209263000000000208e-17
3.520715427000000091e+03 4.183515000000000099e-16 3.275390000000000257e-17
3.522641059999999925e+03 3.387227000000000165e-16 2.883187000000000064e-17
3.524566709000000174e+03 2.138280999999999877e-16 2.501572000000000112e-17
3.526492374999999811e+03 2.595058999999999990e-16 2.612778999999999924e-17
3.528418056999999862e+03 2.801347000000000198e-16 2.874984000000000294e-17
3.530343756000000212e+03 2.094334999999999942e-16 2.664499000000000138e-17
3.532269471999999951e+03 3.404556999999999995e-16 3.041457999999999890e-17
3.534195204000000103e+03 2.761897000000000119e-16 2.514433999999999851e-17
3.536120953000000100e+03 2.993829000000000157e-16 2.736644999999999970e-17
3.538046718999999939e+03 4.187393000000000041e-16 3.148186999999999810e-17
3.539972501000000193e+03 2.472774000000000213e-16 2.906395000000000165e-17
3.541898299999999836e+03 1.917015999999999969e-16 2.591784000000000137e-17
3.543824114999999892e+03 4.593049999999999761e-16 3.256444999999999931e-17
3.545749946999999793e+03 2.984214000000000197e-16 2.776763000000000083e-17
3.547675795000000107e+03 2.168343000000000049e-16 2.197150999999999873e-17
3.549601661000000149e+03 2.724934999999999776e-16 2.863247000000000154e-17
3.551527541999999812e+03 3.207890000000000146e-16 3.205539000000000150e-17
3.553453441000000112e+03 4.356403999999999919e-16 3.253432000000000054e-17
3.555379355999999916e+03 2.931808999999999989e-16 2.516920000000000009e-17
3.557305287000000135e+03 2.861246999999999948e-16 2.861953000000000166e-17
3.559231235000000197e+03 2.492265999999999801e-16 2.503917000000000079e-17
3.561157200000000103e+03 3.441383000000000172e-16 2.737675000000000033e-17
3.563083181999999852e+03 3.174242000000000215e-16 2.674883999999999949e-17
3.565009179000000131e+03 2.944649999999999935e-16 2.972426000000000241e-17
3.566935194000000138e+03 3.438182999999999942e-16 2.602341999999999923e-17
3.568861225000000104e+03 2.794811999999999886e-16 2.588637999999999861e-17
3.570787272999999914e+03 3.037532000000000209e-16 2.813317000000000297e-17
3.572713337000000138e+03 3.514615000000000215e-16 2.582990000000000151e-17
3.574639418000000205e+03 1.941207000000000089e-16 2.329755000000000127e-17
3.576565514999999778e+03 3.714360999999999891e-16 2.899022999999999924e-17
3.578491629000000103e+03 3.293104999999999796e-16 2.776086999999999764e-17
3.580417759999999817e+03 3.254983000000000239e-16 2.954233999999999930e-17
3.582343906999999945e+03 1.957961000000000085e-16 2.365636999999999918e-17
3.584270070999999916e+03 2.540292999999999861e-16 2.600424000000000115e-17
3.586196250999999847e+03 2.725341999999999962e-16 2.592465999999999992e-17
3.588122448000000077e+03 2.971448999999999880e-16 2.706461999999999951e-17
3.590048660999999811e+03 3.118638999999999911e-16 2.695206000000000109e-17
3.591974890999999843e+03 3.236485999999999990e-16 2.770552000000000047e-17
3.593901138000000174e+03 3.046358000000000226e-16 2.899392999999999869e-17
3.595827401000000009e+03 1.396997000000000117e-16 1.986657000000000106e-17
3.597753681000000142e+03 3.085094000000000172e-16 2.686279000000000033e-17
3.599679976999999781e+03 3.018084999999999915e-16 2.753339000000000045e-17
3.601606290000000172e+03 2.613891999999999896e-16 2.190295999999999920e-17
3.603532619000000068e+03 2.989229000000000043e-16 2.730476000000000076e-17
3.605458964999999807e+03 2.795344000000000246e-16 2.519295999999999941e-17
3.607385326999999961e+03 3.480029000000000051e-16 2.675989999999999887e-17
3.609311705999999958e+03 2.430476000000000132e-16 2.513613000000000062e-17
3.611238101999999799e+03 2.742238000000000030e-16 2.408425000000000033e-17
3.613164514000000054e+03 2.611183999999999833e-16 2.565817000000000034e-17
3.615090943000000152e+03 2.230860000000000223e-16 2.568942999999999905e-17
3.617017388000000210e+03 2.452193999999999788e-16 2.855963000000000093e-17
3.618943850000000111e+03 2.548280999999999884e-16 2.552080999999999879e-17
3.620870327999999972e+03 3.203725999999999927e-16 2.581320000000000067e-17
3.622796823000000131e+03 3.113125000000000173e-16 2.833729000000000277e-17
3.624723333999999795e+03 3.160564000000000095e-16 2.665352000000000021e-17
3.626649862000000212e+03 2.424907999999999762e-16 2.009609000000000074e-17
3.628576406000000134e+03 3.329895999999999865e-16 2.617533000000000045e-17
3.630502966999999899e+03 2.955356000000000192e-16 2.614644999999999849e-17
3.632429544999999962e+03 2.867797000000000025e-16 2.134572999999999958e-17
3.634356138999999985e+03 2.592142000000000085e-16 2.314548000000000112e-17
3.636282748999999967e+03 3.780732999999999957e-16 2.586949999999999936e-17
3.638209375999999793e+03 2.820057000000000062e-16 2.311137999999999912e-17
3.640136019999999917e+03 4.170945999999999993e-16 2.853530999999999765e-17
3.642062680000000000e+03 2.637220000000000085e-16 2.196167999999999976e-17
3.643989356999999927e+03 3.554397999999999997e-16 2.592928000000000013e-17
3.645916049999999814e+03 2.224091000000000132e-16 2.311353000000000030e-17
3.647842759999999998e+03 4.148496999999999813e-16 2.676754000000000078e-17
3.649769486000000143e+03 2.639208000000000109e-16 2.475189000000000026e-17
3.651696229000000130e+03 3.300049999999999754e-16 2.549184000000000071e-17
3.653622988000000078e+03 2.174313000000000026e-16 1.922371999999999989e-17
3.655549762999999984e+03 2.451313999999999959e-16 2.278207999999999888e-17
3.657476556000000073e+03 3.569810999999999840e-16 2.552311999999999889e-17
3.659403363999999783e+03 3.144930999999999925e-16 2.422292000000000022e-17
3.661330190000000130e+03 3.642801999999999885e-16 2.185302999999999996e-17
3.663257031999999981e+03 2.986778999999999875e-16 2.350920999999999942e-17
3.665183889999999792e+03 3.445664000000000034e-16 2.577233000000000036e-17
3.667110764999999901e+03 4.110732999999999896e-16 2.784266999999999978e-17
3.669037655999999970e+03 3.620332000000000035e-16 2.527187000000000110e-17
3.670964563999999882e+03 3.727773999999999898e-16 2.439518999999999969e-17
3.672891488000000209e+03 3.254075999999999848e-16 2.448485000000000111e-17
3.674818428999999924e+03 3.756872000000000080e-16 2.573173000000000074e-17
3.676745386000000053e+03 4.039882000000000118e-16 2.702881999999999852e-17
3.678672360000000026e+03 2.610736000000000126e-16 2.275559000000000111e-17
3.680599349999999959e+03 3.284529000000000128e-16 2.498952000000000044e-17
3.682526357000000189e+03 3.842405999999999983e-16 2.504097999999999847e-17
3.684453379999999925e+03 4.059980999999999875e-16 2.583345000000000023e-17
3.686380419999999958e+03 3.721800999999999969e-16 2.637094999999999910e-17
3.688307475999999951e+03 3.442887000000000068e-16 2.473535999999999963e-17
3.690234548999999788e+03 4.407191999999999868e-16 2.591141999999999859e-17
3.692161638000000039e+03 1.584714999999999907e-16 1.855135999999999925e-17
3.694088742999999795e+03 3.084131999999999822e-16 2.418367999999999919e-17
3.696015864999999849e+03 3.283678999999999828e-16 2.669892999999999973e-17
3.697943004000000201e+03 2.402853000000000136e-16 2.158623000000000073e-17
3.699870159000000058e+03 3.103946999999999928e-16 2.395648000000000089e-17
3.701797331000000213e+03 3.629539999999999809e-16 2.544626999999999918e-17
3.703724518999999873e+03 4.829891000000000487e-16 2.765304000000000119e-17
3.705651722999999947e+03 2.830052000000000139e-16 2.270500999999999872e-17
3.707578943999999865e+03 3.400859000000000186e-16 2.442113999999999915e-17
3.709506181000000197e+03 2.697689999999999764e-16 2.451865999999999985e-17
3.711433434999999918e+03 4.264133999999999901e-16 2.719294999999999981e-17
3.713360705999999936e+03 3.024355999999999933e-16 2.268913000000000123e-17
3.715287992999999915e+03 4.251506000000000063e-16 2.572974999999999977e-17
3.717215295999999853e+03 3.315545999999999938e-16 2.355244000000000007e-17
3.719142615000000205e+03 3.309830999999999903e-16 2.319883999999999912e-17
3.721069951999999830e+03 3.468617000000000192e-16 2.404490000000000061e-17
3.722997303999999986e+03 3.287596000000000144e-16 2.341031999999999886e-17
3.724924672999999984e+03 3.046276000000000199e-16 2.302401999999999961e-17
3.726852058999999826e+03 4.310377000000000187e-16 2.759283000000000080e-17
3.728779461000000083e+03 3.360210000000000026e-16 2.221928000000000061e-17
3.730706878999999844e+03 4.291175000000000156e-16 2.667368999999999877e-17
3.732634313999999904e+03 3.187793999999999849e-16 2.200972000000000032e-17
3.734561765999999807e+03 3.417737999999999863e-16 2.592674000000000137e-17
3.736489232999999786e+03 4.138491000000000237e-16 2.547828999999999973e-17
3.738416717999999946e+03 2.951274999999999821e-16 2.353080000000000116e-17
3.740344218000000183e+03 3.662499000000000036e-16 2.754503000000000018e-17
3.742271734999999808e+03 4.559916000000000474e-16 2.725283999999999927e-17
3.744199269000000186e+03 3.955115000000000174e-16 2.535771000000000002e-17
3.746126819000000069e+03 2.810080000000000196e-16 2.245467000000000040e-17
3.748054384999999911e+03 3.302904999999999975e-16 2.333389999999999877e-17
3.749981968000000052e+03 3.146554999999999910e-16 2.267915000000000154e-17
3.751909567000000152e+03 3.919827000000000181e-16 2.513861000000000093e-17
3.753837183000000095e+03 2.915704999999999817e-16 2.200075000000000059e-17
3.755764814999999999e+03 4.104433000000000168e-16 2.371479000000000137e-17
3.757692464000000200e+03 2.711685000000000004e-16 2.138016000000000072e-17
3.759620128999999906e+03 4.496069999999999712e-16 2.553548000000000150e-17
3.761547810000000027e+03 3.599569999999999837e-16 2.380648999999999912e-17
3.763475507999999991e+03 3.004225999999999841e-16 2.169486999999999925e-17
3.765403221999999914e+03 2.930053000000000104e-16 2.210647999999999918e-17
3.767330953000000136e+03 3.419489999999999975e-16 2.296045000000000019e-17
3.769258699999999862e+03 3.172722000000000242e-16 2.250581000000000058e-17
3.771186463000000003e+03 3.633441000000000047e-16 2.338137000000000026e-17
3.773114242999999988e+03 3.615263999999999871e-16 2.303546000000000146e-17
3.775042039999999815e+03 4.005388999999999973e-16 2.430524999999999938e-17
3.776969852000000174e+03 2.541877999999999965e-16 2.100374000000000068e-17
3.778897680999999920e+03 3.176395999999999935e-16 2.125854000000000028e-17
3.780825526999999965e+03 2.809818999999999855e-16 2.106563999999999879e-17
3.782753388999999970e+03 4.332753000000000198e-16 2.504194999999999947e-17
3.784681266999999934e+03 3.841540000000000099e-16 2.251700999999999941e-17
3.786609162000000197e+03 2.278160999999999845e-16 1.981565000000000133e-17
3.788537072999999964e+03 3.639915999999999822e-16 2.294716999999999990e-17
3.790465001000000029e+03 3.452905999999999767e-16 2.421566000000000077e-17
3.792392945000000054e+03 2.931483999999999831e-16 2.122581000000000123e-17
3.794320905000000039e+03 3.264363000000000107e-16 2.151243999999999860e-17
3.796248881999999867e+03 3.619656999999999782e-16 2.345358000000000028e-17
3.798176875000000109e+03 3.145218000000000022e-16 2.184553999999999878e-17
3.800104883999999856e+03 3.760010000000000133e-16 2.381107000000000037e-17
3.802032909999999902e+03 2.981399999999999990e-16 2.123764000000000065e-17
3.803960952999999790e+03 4.003918000000000052e-16 2.425785999999999890e-17
3.805889011000000210e+03 3.198681000000000059e-16 2.224456999999999872e-17
3.807817086000000018e+03 3.579480999999999758e-16 2.280206000000000083e-17
3.809745178000000124e+03 3.397864000000000026e-16 2.262242000000000015e-17
3.811673286000000189e+03 3.511905000000000019e-16 1.978029000000000123e-17
3.813601410000000214e+03 4.104192999999999991e-16 2.341187000000000021e-17
3.815529550000000199e+03 2.641857999999999767e-16 2.058701000000000121e-17
3.817457707000000028e+03 3.201871000000000117e-16 2.191500000000000087e-17
3.819385881000000154e+03 2.718397999999999824e-16 2.052168000000000126e-17
3.821314069999999901e+03 3.330144000000000081e-16 2.249309000000000116e-17
3.823242275999999947e+03 2.863456000000000119e-16 2.082476000000000135e-17
3.825170498999999836e+03 3.376054000000000171e-16 1.943165000000000091e-17
3.827098738000000139e+03 4.032256000000000001e-16 2.352962000000000099e-17
3.829026992999999948e+03 2.876064000000000106e-16 2.212603999999999971e-17
3.830955264000000170e+03 2.781072999999999900e-16 1.999759000000000084e-17
3.832883551999999781e+03 4.502330999999999559e-16 2.494589999999999913e-17
3.834811855999999807e+03 2.940270999999999968e-16 2.093545000000000056e-17
3.836740177000000131e+03 3.787705999999999804e-16 2.240707999999999895e-17
3.838668513999999959e+03 2.482023000000000001e-16 1.865584000000000103e-17
3.840596867000000202e+03 3.200178000000000229e-16 2.093663999999999894e-17
3.842525236999999834e+03 3.162821000000000005e-16 2.154715999999999991e-17
3.844453622999999880e+03 3.203427999999999838e-16 2.321608999999999955e-17
3.846382024999999885e+03 3.694385999999999996e-16 2.280304000000000004e-17
3.848310444000000189e+03 3.953431999999999965e-16 2.264215999999999909e-17
3.850238878999999997e+03 3.782063000000000118e-16 2.319053000000000074e-17
3.852167331000000104e+03 3.603178000000000072e-16 2.209711000000000059e-17
3.854095799000000170e+03 3.570207999999999854e-16 2.134274999999999993e-17
3.856024283000000196e+03 3.567537000000000032e-16 2.206202000000000119e-17
3.857952783000000181e+03 3.251637999999999985e-16 2.136734999999999901e-17
3.859881300000000010e+03 3.483751999999999796e-16 2.203604999999999916e-17
3.861809832999999799e+03 3.361823999999999839e-16 2.179594999999999995e-17
3.863738382999999885e+03 3.279937999999999872e-16 2.124623999999999920e-17
3.865666948000000048e+03 3.467245000000000196e-16 2.206313999999999984e-17
3.867595530000000053e+03 3.620490000000000185e-16 2.222782000000000072e-17
3.869524128999999903e+03 3.657770999999999794e-16 2.333948999999999998e-17
3.871452744000000166e+03 3.305158000000000113e-16 2.084549999999999897e-17
3.873381374999999935e+03 3.185706999999999900e-16 2.074117000000000101e-17
3.875310022000000117e+03 2.405299000000000039e-16 1.816571000000000008e-17
3.877238686000000143e+03 3.493239999999999941e-16 2.116478999999999876e-17
3.879167366000000129e+03 3.910358000000000066e-16 2.261293999999999979e-17
3.881096062999999958e+03 3.859009000000000048e-16 2.210000000000000104e-17
3.883024774999999863e+03 2.458482000000000197e-16 1.891827999999999946e-17
3.884953504999999950e+03 3.621203999999999825e-16 2.156424000000000013e-17
3.886882250000000113e+03 2.857350999999999796e-16 1.918211000000000031e-17
3.888811012000000119e+03 3.260367000000000210e-16 2.169188000000000140e-17
3.890739790000000085e+03 3.575235999999999824e-16 2.162941000000000114e-17
3.892668584000000010e+03 3.297858999999999794e-16 2.096836999999999931e-17
3.894597394999999779e+03 2.475007999999999827e-16 1.892880000000000054e-17
3.896526221999999962e+03 3.037346000000000170e-16 1.999689999999999873e-17
3.898455065000000104e+03 3.133261000000000171e-16 2.077549000000000038e-17
3.900383924000000206e+03 2.004712999999999942e-16 1.667329999999999894e-17
3.902312800000000152e+03 3.093077000000000108e-16 1.950434999999999899e-17
3.904241692000000057e+03 3.201554999999999817e-16 2.045283000000000028e-17
3.906170600999999806e+03 4.204996000000000023e-16 2.256215000000000131e-17
3.908099525999999969e+03 3.842094999999999769e-16 2.152465000000000048e-17
3.910028467000000092e+03 3.743883999999999977e-16 2.116312000000000052e-17
3.911957424000000174e+03 3.514674999999999766e-16 2.099104000000000074e-17
3.913886398000000099e+03 4.679955000000000332e-16 2.416962000000000067e-17
3.915815387999999984e+03 3.683111000000000123e-16 2.117558999999999873e-17
3.917744393999999829e+03 3.303751000000000009e-16 2.071635999999999967e-17
3.919673416999999972e+03 3.134842999999999829e-16 2.032944999999999932e-17
3.921602455000000191e+03 3.689985000000000045e-16 2.118198000000000075e-17
3.923531509999999798e+03 4.311922000000000097e-16 2.300217000000000153e-17
3.925460582000000159e+03 3.758257000000000201e-16 2.163598999999999976e-17
3.927389670000000024e+03 2.876231999999999935e-16 1.891403999999999862e-17
3.929318772999999965e+03 3.580303999999999989e-16 2.071202000000000144e-17
3.931247894000000088e+03 3.159970999999999870e-16 2.010499999999999895e-17
3.933177029999999831e+03 3.358553999999999886e-16 2.051679000000000036e-17
3.935106182999999874e+03 3.711227000000000105e-16 2.136842000000000050e-17
3.937035351999999875e+03 3.717361000000000137e-16 2.161435000000000086e-17
3.938964536999999837e+03 3.880478000000000161e-16 2.160059000000000071e-17
3.940893739000000096e+03 4.297682999999999906e-16 2.204525999999999882e-17
3.942822956999999860e+03 4.214953000000000039e-16 2.129612999999999948e-17
3.944752191000000039e+03 3.368814999999999896e-16 2.016679000000000145e-17
3.946681441000000177e+03 3.657964999999999872e-16 1.969691000000000006e-17
3.948610708000000159e+03 3.912165999999999957e-16 2.127654000000000127e-17
3.950539991000000100e+03 3.689103999999999903e-16 2.265610999999999892e-17
3.952469290000000001e+03 4.459321000000000463e-16 2.301544999999999874e-17
3.954398606000000200e+03 3.864259999999999805e-16 2.192238999999999849e-17
3.956327937999999904e+03 3.404247999999999914e-16 2.008209999999999886e-17
3.958257286000000022e+03 3.872803999999999811e-16 2.027104000000000149e-17
3.960186650000000100e+03 4.372919000000000050e-16 2.340552000000000024e-17
3.962116030000000137e+03 4.300946000000000133e-16 2.321694999999999878e-17
3.964045427000000018e+03 3.567318000000000018e-16 2.085483999999999988e-17
3.965974839999999858e+03 2.868780999999999865e-16 1.899115999999999902e-17
3.967904269000000113e+03 3.162878999999999916e-16 1.969893000000000000e-17
3.969833715000000211e+03 3.902725000000000224e-16 2.226234000000000106e-17
3.971763175999999930e+03 2.434055000000000165e-16 1.695576000000000137e-17
3.973692653999999948e+03 4.242655999999999929e-16 2.367303999999999926e-17
3.975622148999999808e+03 3.772818999999999923e-16 2.098185999999999876e-17
3.977551659000000200e+03 3.089555999999999987e-16 1.902050999999999957e-17
3.979481185999999980e+03 4.208586000000000048e-16 2.098924999999999946e-17
3.981410729000000174e+03 3.588617999999999989e-16 2.013725000000000122e-17
3.983340287999999873e+03 3.352416000000000081e-16 1.961395999999999851e-17
3.985269862999999987e+03 3.910445000000000180e-16 2.124678999999999878e-17
3.987199454999999944e+03 3.800254000000000240e-16 2.089394999999999967e-17
3.989129062999999860e+03 3.502029000000000211e-16 2.034105000000000009e-17
3.991058687000000191e+03 3.418651999999999980e-16 1.969552000000000072e-17
3.992988327000000027e+03 3.642716000000000085e-16 2.066800999999999947e-17
3.994917984000000160e+03 4.013932999999999979e-16 2.099431000000000057e-17
3.996847656999999799e+03 4.019787000000000133e-16 2.140987000000000116e-17
3.998777345999999852e+03 4.384654999999999754e-16 2.198189000000000037e-17
4.000707050999999865e+03 3.292112999999999917e-16 1.845544000000000015e-17
4.002636771999999837e+03 3.171795999999999820e-16 1.978837999999999916e-17
4.004566510000000108e+03 3.110137000000000232e-16 1.893008999999999939e-17
4.006496263999999883e+03 4.548690000000000161e-16 2.318601999999999921e-17
4.008426034000000072e+03 4.081947000000000240e-16 2.094507999999999856e-17
4.010355820000000222e+03 3.020047000000000182e-16 1.896616999999999928e-17
4.012285623000000214e+03 3.300157000000000211e-16 2.067031999999999957e-17
4.014215442000000166e+03 4.336385000000000057e-16 2.141607000000000040e-17
4.016145277000000078e+03 4.167320000000000040e-16 2.121239000000000149e-17
4.018075127999999950e+03 2.638274000000000141e-16 1.750597999999999966e-17
4.020004994999999781e+03 2.850944999999999924e-16 1.836303999999999901e-17
4.021934878999999910e+03 3.540582000000000070e-16 2.008017000000000121e-17
4.023864778000000115e+03 3.723103000000000241e-16 1.957126999999999924e-17
4.025794694000000163e+03 4.487764000000000243e-16 2.224435000000000136e-17
4.027724626000000171e+03 3.449750999999999818e-16 1.875205999999999850e-17
4.029654575000000023e+03 3.493962000000000114e-16 1.995658999999999929e-17
4.031584538999999950e+03 3.670189999999999789e-16 2.025134999999999971e-17
4.033514520000000175e+03 3.936779000000000028e-16 2.086942000000000031e-17
4.035444516999999905e+03 3.778840000000000086e-16 2.040305999999999996e-17
4.037374530000000050e+03 3.448835000000000061e-16 1.974062999999999878e-17
4.039304559000000154e+03 3.565102999999999942e-16 1.704858999999999904e-17
