# MJD-OBS = 58321.270984
# DATE-OBS = 2018-07-22T06:30:13
# EXPTIME = 620.000000
# AIRMASS = 1.687
# TELESCOPE = UH88
# INSTRUMENT = SNIFS
5.404060e+03 3.302365e-17 2.537658e-17
5.406060e+03 3.569839e-17 2.533683e-17
5.408060e+03 -7.863433e-18 2.453778e-17
5.410060e+03 4.223074e-18 2.456382e-17
5.412060e+03 4.116668e-17 2.498409e-17
5.414060e+03 4.772629e-17 2.507495e-17
5.416060e+03 4.404012e-17 2.508629e-17
5.418060e+03 3.757242e-17 2.500461e-17
5.420060e+03 3.542934e-17 2.473635e-17
5.422060e+03 4.845527e-17 2.487456e-17
5.424060e+03 6.105724e-17 2.506941e-17
5.426060e+03 6.343339e-17 2.513815e-17
5.428060e+03 5.242582e-17 2.487888e-17
5.430060e+03 5.350327e-17 2.475617e-17
5.432060e+03 7.765815e-17 2.494404e-17
5.434060e+03 7.164810e-17 2.484007e-17
5.436060e+03 6.122964e-17 2.476656e-17
5.438060e+03 4.867266e-17 2.475995e-17
5.440060e+03 4.384253e-17 2.465863e-17
5.442060e+03 4.656482e-17 2.460120e-17
5.444060e+03 5.510777e-17 2.457787e-17
5.446060e+03 4.889501e-17 2.445303e-17
5.448060e+03 3.359844e-17 2.424305e-17
5.450060e+03 1.553489e-17 2.399137e-17
5.452060e+03 2.033304e-17 2.384846e-17
5.454060e+03 3.745676e-17 2.396481e-17
5.456060e+03 5.228681e-17 2.406832e-17
5.458060e+03 3.310572e-17 2.359806e-17
5.460060e+03 4.838768e-17 2.364685e-17
5.462060e+03 6.846267e-17 2.376487e-17
5.464060e+03 6.790181e-17 2.356414e-17
5.466060e+03 7.968001e-17 2.379249e-17
5.468060e+03 7.865481e-17 2.383966e-17
5.470060e+03 4.697383e-17 2.333337e-17
5.472060e+03 5.612693e-17 2.335823e-17
5.474060e+03 7.434780e-17 2.353483e-17
5.476060e+03 9.722294e-17 2.382059e-17
5.478060e+03 1.015385e-16 2.377486e-17
5.480060e+03 1.067267e-16 2.373938e-17
5.482060e+03 1.137105e-16 2.373240e-17
5.484060e+03 9.967181e-17 2.349406e-17
5.486060e+03 8.702113e-17 2.329175e-17
5.488060e+03 7.741285e-17 2.314089e-17
5.490060e+03 8.833024e-17 2.322636e-17
5.492060e+03 8.753159e-17 2.313677e-17
5.494060e+03 7.716556e-17 2.289384e-17
5.496060e+03 5.378885e-17 2.239993e-17
5.498060e+03 3.381897e-17 2.200588e-17
5.500060e+03 2.039780e-17 2.175139e-17
5.502060e+03 2.426123e-17 2.182307e-17
5.504060e+03 4.680209e-17 2.201850e-17
5.506060e+03 6.944611e-17 2.220339e-17
5.508060e+03 7.824109e-17 2.226965e-17
5.510060e+03 8.082149e-17 2.232209e-17
5.512060e+03 7.811802e-17 2.228220e-17
5.514060e+03 6.843650e-17 2.208660e-17
5.516060e+03 4.872915e-17 2.172603e-17
5.518060e+03 4.534506e-17 2.159535e-17
5.520060e+03 6.460935e-17 2.178709e-17
5.522060e+03 4.992229e-17 2.150367e-17
5.524060e+03 5.040982e-17 2.148345e-17
5.526060e+03 6.669226e-17 2.172911e-17
5.528060e+03 8.037235e-17 2.181881e-17
5.530060e+03 8.915738e-17 2.191866e-17
5.532060e+03 9.537632e-17 2.202559e-17
5.534060e+03 1.101069e-16 2.212929e-17
5.536060e+03 1.038422e-16 2.196153e-17
5.538060e+03 8.727153e-17 2.170617e-17
5.540060e+03 7.639297e-17 2.173233e-17
5.542060e+03 6.815373e-17 2.160528e-17
5.544060e+03 6.313558e-17 2.147903e-17
5.546060e+03 6.462453e-17 2.153838e-17
5.548060e+03 6.159143e-17 2.154121e-17
5.550060e+03 6.453029e-17 2.160634e-17
5.552060e+03 8.279141e-17 2.183675e-17
5.554060e+03 8.731676e-17 2.181779e-17
5.556060e+03 9.461163e-17 2.180814e-17
5.558060e+03 1.098818e-16 2.187921e-17
5.560060e+03 1.050266e-16 2.185752e-17
5.562060e+03 9.491180e-17 2.178178e-17
5.564060e+03 8.053820e-17 2.165142e-17
5.566060e+03 8.395419e-17 2.152334e-17
5.568060e+03 9.775167e-17 2.169143e-17
5.570060e+03 1.191857e-16 2.211558e-17
5.572060e+03 1.191808e-16 2.244522e-17
5.574060e+03 1.201469e-16 2.308155e-17
5.576060e+03 1.247515e-16 2.397098e-17
5.578060e+03 1.485212e-16 2.517205e-17
5.580060e+03 1.583416e-16 2.558652e-17
5.582060e+03 1.507553e-16 2.531162e-17
5.584060e+03 1.023093e-16 2.386579e-17
5.586060e+03 7.339241e-17 2.243484e-17
5.588060e+03 6.494679e-17 2.137256e-17
5.590060e+03 9.238116e-17 2.126840e-17
5.592060e+03 9.536676e-17 2.109458e-17
5.594060e+03 9.408176e-17 2.096653e-17
5.596060e+03 9.557680e-17 2.095638e-17
5.598060e+03 9.804591e-17 2.088790e-17
5.600060e+03 1.024853e-16 2.086301e-17
5.602060e+03 1.095149e-16 2.091080e-17
5.604060e+03 1.119378e-16 2.084823e-17
5.606060e+03 1.137948e-16 2.081659e-17
5.608060e+03 1.155257e-16 2.082950e-17
5.610060e+03 1.279082e-16 2.111274e-17
5.612060e+03 1.312566e-16 2.115323e-17
5.614060e+03 1.258194e-16 2.097904e-17
5.616060e+03 1.047930e-16 2.060223e-17
5.618060e+03 8.806900e-17 2.034449e-17
5.620060e+03 7.648815e-17 2.017650e-17
5.622060e+03 7.835628e-17 2.010459e-17
5.624060e+03 9.422648e-17 2.022289e-17
5.626060e+03 1.091439e-16 2.034267e-17
5.628060e+03 1.003000e-16 2.018793e-17
5.630060e+03 9.433614e-17 2.019917e-17
5.632060e+03 8.599225e-17 2.013150e-17
5.634060e+03 7.003065e-17 1.976070e-17
5.636060e+03 7.209916e-17 1.972141e-17
5.638060e+03 7.716852e-17 1.971413e-17
5.640060e+03 8.128099e-17 1.964984e-17
5.642060e+03 8.772313e-17 1.958236e-17
5.644060e+03 9.506452e-17 1.957896e-17
5.646060e+03 1.032392e-16 1.965755e-17
5.648060e+03 1.137843e-16 1.996861e-17
5.650060e+03 1.062815e-16 1.994710e-17
5.652060e+03 8.254815e-17 1.961247e-17
5.654060e+03 8.359974e-17 1.953550e-17
5.656060e+03 8.262612e-17 1.954341e-17
5.658060e+03 8.089372e-17 1.960195e-17
5.660060e+03 8.460797e-17 1.957709e-17
5.662060e+03 8.586087e-17 1.955498e-17
5.664060e+03 8.616319e-17 1.952372e-17
5.666060e+03 8.811650e-17 1.944562e-17
5.668060e+03 9.364531e-17 1.938225e-17
5.670060e+03 9.819386e-17 1.932430e-17
5.672060e+03 9.581618e-17 1.926547e-17
5.674060e+03 1.019039e-16 1.933784e-17
5.676060e+03 1.071998e-16 1.941053e-17
5.678060e+03 1.061772e-16 1.941148e-17
5.680060e+03 9.869145e-17 1.928450e-17
5.682060e+03 9.419244e-17 1.919673e-17
