# DICHROIC = D55
# HA = +00:42:04.9
# ANGLE = 27 deg  17 min
# OBSERVER = jan van roestel
# OBSLST = 04:21:01.5
# OBJECT = ZTFJ19acblzux
# CASSPA = 15.00
# PARALLAC = 13.84
# HOURANG = W00:42:04.9
# CCDTEMP = 161.64
# LAMPS = 0000000
# RA = 03:37:57.91
# GRATING = 600/4000
# APERTURE = 1.0
# TELFOCUS = 43.57 mm
# AIRMASS = 1.296
# DEC = -04:59:31.6
# UTSHUT = 2019-10-01T11:28:50.525
# EXPTIME = 2400
lambda_AA flux
3621.125 3.0272e-17
3622.650 2.3474e-17
3624.175 2.7988e-17
3625.700 2.9499e-17
3627.225 2.8174e-17
3628.750 3.0486e-17
3630.275 3.6164e-17
3631.800 2.6015e-17
3633.325 2.2283e-17
3634.850 3.4597e-17
3636.375 2.8168e-17
3637.900 2.3741e-17
3639.425 2.256e-17
3640.950 2.9259e-17
3642.475 3.1723e-17
3644.000 2.6415e-17
3645.525 2.793e-17
3647.050 3.331e-17
3648.575 2.34e-17
3650.100 1.9731e-17
3651.625 3.0103e-17
3653.150 2.9712e-17
3654.675 3.3589e-17
3656.200 1.545e-17
3657.725 1.955e-17
3659.250 2.2806e-17
3660.775 2.734e-17
3662.300 3.253e-17
3663.825 2.5201e-17
3665.350 2.4394e-17
3666.875 3.3478e-17
3668.400 3.3264e-17
3669.925 2.6192e-17
3671.450 2.9179e-17
3672.975 2.8903e-17
3674.500 3.6748e-17
3676.025 2.7846e-17
3677.550 3.4993e-17
3679.075 3.6395e-17
3680.600 3.1204e-17
3682.125 3.4284e-17
3683.650 3.5062e-17
3685.175 3.2791e-17
3686.700 3.2125e-17
3688.225 3.362e-17
3689.750 2.4376e-17
3691.275 2.4321e-17
3692.800 2.5296e-17
3694.325 2.3981e-17
3695.850 2.4422e-17
3697.375 3.1794e-17
3698.900 2.9412e-17
3700.425 2.6508e-17
3701.950 3.1383e-17
3703.475 3.3963e-17
3705.000 3.3272e-17
3706.525 2.8069e-17
3708.050 2.9638e-17
3709.575 2.8769e-17
3711.100 2.7929e-17
3712.625 2.5691e-17
3714.150 2.7025e-17
3715.675 3.2173e-17
3717.200 3.5021e-17
3718.725 3.1813e-17
3720.250 2.4449e-17
3721.775 1.5333e-17
3723.300 8.0583e-18
3724.825 2.1365e-17
3726.350 2.8776e-17
3727.875 2.7591e-17
3729.400 2.9867e-17
3730.925 1.8983e-17
3732.450 2.157e-17
3733.975 3.2411e-17
3735.500 2.5046e-17
3737.025 2.9591e-17
3738.550 3.3282e-17
3740.075 3.4333e-17
3741.600 3.1124e-17
3743.125 2.8759e-17
3744.650 3.2753e-17
3746.175 3.4179e-17
3747.700 3.482e-17
3749.225 3.2925e-17
3750.750 3.8498e-17
3752.275 3.979e-17
3753.800 3.7284e-17
3755.325 4.0894e-17
3756.850 3.6835e-17
3758.375 3.4054e-17
3759.900 3.6066e-17
3761.425 4.1556e-17
3762.950 3.7559e-17
3764.475 3.4476e-17
3766.000 4.3528e-17
3767.525 4.2649e-17
3769.050 4.1699e-17
3770.575 4.5481e-17
3772.100 4.5425e-17
3773.625 4.9537e-17
3775.150 4.9837e-17
3776.675 4.5729e-17
3778.200 4.294e-17
3779.725 4.3785e-17
3781.250 5.0239e-17
3782.775 4.3181e-17
3784.300 4.2558e-17
3785.825 4.378e-17
3787.350 5.0586e-17
3788.875 4.3079e-17
3790.400 4.4574e-17
3791.925 5.1286e-17
3793.450 5.0582e-17
3794.975 4.4202e-17
3796.500 4.9386e-17
3798.025 4.6927e-17
3799.550 4.9165e-17
3801.075 4.6359e-17
3802.600 4.6763e-17
3804.125 5.1229e-17
3805.650 4.9239e-17
3807.175 4.374e-17
3808.700 4.2639e-17
3810.225 4.3475e-17
3811.750 4.1673e-17
3813.275 4.133e-17
3814.800 3.1516e-17
3816.325 3.384e-17
3817.850 4.7856e-17
3819.375 4.2728e-17
3820.900 3.2597e-17
3822.425 3.7896e-17
3823.950 4.3315e-17
3825.475 4.0551e-17
3827.000 3.9757e-17
3828.525 4.074e-17
3830.050 4.0146e-17
3831.575 4.3281e-17
3833.100 3.3532e-17
3834.625 3.4605e-17
3836.150 3.4293e-17
3837.675 3.6996e-17
3839.200 3.4118e-17
3840.725 3.2998e-17
3842.250 3.334e-17
3843.775 3.1585e-17
3845.300 3.1273e-17
3846.825 3.2007e-17
3848.350 3.4781e-17
3849.875 3.8828e-17
3851.400 3.4506e-17
3852.925 2.9121e-17
3854.450 2.9767e-17
3855.975 3.5753e-17
3857.500 3.6567e-17
3859.025 3.4486e-17
3860.550 3.2325e-17
3862.075 3.7118e-17
3863.600 3.3285e-17
3865.125 2.3699e-17
3866.650 2.1705e-17
3868.175 2.2805e-17
3869.700 2.7908e-17
3871.225 2.5238e-17
3872.750 2.4179e-17
3874.275 3.4035e-17
3875.800 3.2973e-17
3877.325 2.8228e-17
3878.850 2.8128e-17
3880.375 2.3235e-17
3881.900 2.6638e-17
3883.425 2.4865e-17
3884.950 2.2294e-17
3886.475 2.9099e-17
3888.000 3.1601e-17
3889.525 2.9237e-17
3891.050 3.1487e-17
3892.575 2.7404e-17
3894.100 2.5707e-17
3895.625 2.7552e-17
3897.150 2.556e-17
3898.675 2.5666e-17
3900.200 2.9188e-17
3901.725 3.1335e-17
3903.250 2.7892e-17
3904.775 2.4771e-17
3906.300 2.6583e-17
3907.825 3.0736e-17
3909.350 2.6169e-17
3910.875 2.6292e-17
3912.400 3.1438e-17
3913.925 3.2883e-17
3915.450 2.9092e-17
3916.975 3.5244e-17
3918.500 2.9986e-17
3920.025 2.6347e-17
3921.550 3.0281e-17
3923.075 2.6049e-17
3924.600 2.6296e-17
3926.125 2.4751e-17
3927.650 2.5562e-17
3929.175 3.213e-17
3930.700 2.9831e-17
3932.225 2.6893e-17
3933.750 3.1928e-17
3935.275 3.126e-17
3936.800 3.0335e-17
3938.325 3.1807e-17
3939.850 3.4887e-17
3941.375 3.3591e-17
3942.900 3.5809e-17
3944.425 3.6137e-17
3945.950 3.2915e-17
3947.475 3.712e-17
3949.000 4.6585e-17
3950.525 4.4301e-17
3952.050 3.6978e-17
3953.575 3.6674e-17
3955.100 4.0531e-17
3956.625 4.0042e-17
3958.150 3.5078e-17
3959.675 3.9395e-17
3961.200 3.8959e-17
3962.725 4.8405e-17
3964.250 5.5922e-17
3965.775 5.1503e-17
3967.300 4.0844e-17
3968.825 4.5129e-17
3970.350 4.7742e-17
3971.875 4.17e-17
3973.400 4.0099e-17
3974.925 5.016e-17
3976.450 5.0795e-17
3977.975 4.5414e-17
3979.500 5.443e-17
3981.025 5.4457e-17
3982.550 5.6685e-17
3984.075 6.1536e-17
3985.600 6.1064e-17
3987.125 5.1942e-17
3988.650 6.1184e-17
3990.175 6.2381e-17
3991.700 5.5978e-17
3993.225 5.6838e-17
3994.750 6.0013e-17
3996.275 5.8085e-17
3997.800 7.0094e-17
3999.325 6.076e-17
4000.850 5.952e-17
4002.375 6.0785e-17
4003.900 6.2988e-17
4005.425 6.4435e-17
4006.950 6.9538e-17
4008.475 6.5351e-17
4010.000 6.5794e-17
4011.525 7.0207e-17
4013.050 6.8071e-17
4014.575 6.5963e-17
4016.100 7.1429e-17
4017.625 6.5913e-17
4019.150 6.6483e-17
4020.675 6.8847e-17
4022.200 6.4594e-17
4023.725 6.8157e-17
4025.250 7.4634e-17
4026.775 7.6907e-17
4028.300 7.4997e-17
4029.825 7.1252e-17
4031.350 7.9254e-17
4032.875 7.6096e-17
4034.400 8.1997e-17
4035.925 8.2152e-17
4037.450 7.5213e-17
4038.975 7.8179e-17
4040.500 8.743e-17
4042.025 9.0696e-17
4043.550 8.2102e-17
4045.075 1.0126e-16
4046.600 1.1021e-16
4048.125 1.064e-16
4049.650 9.3306e-17
4051.175 8.6223e-17
4052.700 9.2348e-17
4054.225 1.0092e-16
4055.750 1.0641e-16
4057.275 9.635e-17
4058.800 9.2445e-17
4060.325 9.2694e-17
4061.850 9.7819e-17
4063.375 9.6041e-17
4064.900 9.65e-17
4066.425 1.0036e-16
4067.950 9.8794e-17
4069.475 1.042e-16
4071.000 1.0181e-16
4072.525 9.5026e-17
4074.050 9.7795e-17
4075.575 1.0204e-16
4077.100 9.1553e-17
4078.625 9.6921e-17
4080.150 1.0938e-16
4081.675 1.023e-16
4083.200 1.0113e-16
4084.725 1.0756e-16
4086.250 1.037e-16
4087.775 1.0376e-16
4089.300 1.026e-16
4090.825 1.0326e-16
4092.350 9.886e-17
4093.875 1.0132e-16
4095.400 1.0412e-16
4096.925 1.0193e-16
4098.450 9.4918e-17
4099.975 9.4287e-17
4101.500 9.9217e-17
4103.025 9.3696e-17
4104.550 8.7554e-17
4106.075 8.3825e-17
4107.600 7.9605e-17
4109.125 8.411e-17
4110.650 7.9927e-17
4112.175 7.9707e-17
4113.700 6.8446e-17
4115.225 7.493e-17
4116.750 7.7381e-17
4118.275 7.7824e-17
4119.800 7.8962e-17
4121.325 7.6893e-17
4122.850 7.5282e-17
4124.375 7.4735e-17
4125.900 8.3715e-17
4127.425 8.3239e-17
4128.950 8.007e-17
4130.475 8.4076e-17
4132.000 8.3194e-17
4133.525 7.7388e-17
4135.050 7.8642e-17
4136.575 8.1826e-17
4138.100 7.9248e-17
4139.625 8.254e-17
4141.150 8.5995e-17
4142.675 9.1599e-17
4144.200 7.9302e-17
4145.725 8.4355e-17
4147.250 8.5598e-17
4148.775 7.9922e-17
4150.300 8.3969e-17
4151.825 9.1867e-17
4153.350 9.0574e-17
4154.875 8.855e-17
4156.400 9.1136e-17
4157.925 8.7157e-17
4159.450 8.2876e-17
4160.975 8.1138e-17
4162.500 8.3184e-17
4164.025 8.741e-17
4165.550 8.9106e-17
4167.075 8.7733e-17
4168.600 8.6844e-17
4170.125 8.3208e-17
4171.650 8.382e-17
4173.175 9.0712e-17
4174.700 8.9549e-17
4176.225 8.3293e-17
4177.750 7.8445e-17
4179.275 7.9551e-17
4180.800 8.3346e-17
4182.325 8.4835e-17
4183.850 8.819e-17
4185.375 8.3479e-17
4186.900 7.6855e-17
4188.425 8.3066e-17
4189.950 8.4493e-17
4191.475 7.8128e-17
4193.000 8.4042e-17
4194.525 8.4136e-17
4196.050 7.847e-17
4197.575 8.6667e-17
4199.100 8.4317e-17
4200.625 8.7628e-17
4202.150 8.3325e-17
4203.675 8.2821e-17
4205.200 7.6661e-17
4206.725 7.2929e-17
4208.250 7.3935e-17
4209.775 6.8174e-17
4211.300 6.7475e-17
4212.825 6.9906e-17
4214.350 7.3267e-17
4215.875 6.8971e-17
4217.400 7.0287e-17
4218.925 7.2048e-17
4220.450 7.1948e-17
4221.975 7.5411e-17
4223.500 7.8111e-17
4225.025 7.4931e-17
4226.550 7.7315e-17
4228.075 7.6276e-17
4229.600 7.9559e-17
4231.125 8.3826e-17
4232.650 8.3526e-17
4234.175 8.1657e-17
4235.700 7.8075e-17
4237.225 7.5303e-17
4238.750 7.8888e-17
4240.275 8.0713e-17
4241.800 6.9089e-17
4243.325 6.4978e-17
4244.850 6.3606e-17
4246.375 7.424e-17
4247.900 7.1335e-17
4249.425 7.357e-17
4250.950 7.4553e-17
4252.475 7.0759e-17
4254.000 7.0717e-17
4255.525 6.5175e-17
4257.050 6.5065e-17
4258.575 6.3335e-17
4260.100 6.4817e-17
4261.625 6.6806e-17
4263.150 6.4563e-17
4264.675 6.5878e-17
4266.200 6.3322e-17
4267.725 6.335e-17
4269.250 6.464e-17
4270.775 6.4847e-17
4272.300 6.1085e-17
4273.825 6.6207e-17
4275.350 6.4297e-17
4276.875 6.274e-17
4278.400 6.0688e-17
4279.925 5.2073e-17
4281.450 5.5027e-17
4282.975 6.0607e-17
4284.500 5.6106e-17
4286.025 6.0044e-17
4287.550 6.3235e-17
4289.075 5.5927e-17
4290.600 5.7103e-17
4292.125 5.6773e-17
4293.650 6.1149e-17
4295.175 6.01e-17
4296.700 5.9352e-17
4298.225 5.5855e-17
4299.750 6.3673e-17
4301.275 6.1956e-17
4302.800 5.9872e-17
4304.325 5.6831e-17
4305.850 6.1891e-17
4307.375 7.1264e-17
4308.900 7.1499e-17
4310.425 6.0897e-17
4311.950 6.5666e-17
4313.475 6.0366e-17
4315.000 5.8786e-17
4316.525 6.4881e-17
4318.050 7.1608e-17
4319.575 6.7925e-17
4321.100 6.191e-17
4322.625 6.8626e-17
4324.150 7.0832e-17
4325.675 7.0683e-17
4327.200 6.8828e-17
4328.725 6.868e-17
4330.250 7.8182e-17
4331.775 7.6336e-17
4333.300 7.3691e-17
4334.825 7.3808e-17
4336.350 6.9172e-17
4337.875 7.185e-17
4339.400 7.5746e-17
4340.925 7.2002e-17
4342.450 6.901e-17
4343.975 7.3014e-17
4345.500 7.3435e-17
4347.025 6.9776e-17
4348.550 6.4764e-17
4350.075 6.4975e-17
4351.600 7.6558e-17
4353.125 7.4017e-17
4354.650 7.3764e-17
4356.175 6.7587e-17
4357.700 8.0173e-17
4359.225 8.1029e-17
4360.750 7.4214e-17
4362.275 6.2981e-17
4363.800 6.0478e-17
4365.325 5.5872e-17
4366.850 5.8981e-17
4368.375 5.975e-17
4369.900 6.4704e-17
4371.425 7.0825e-17
4372.950 6.362e-17
4374.475 6.4056e-17
4376.000 6.2179e-17
4377.525 6.273e-17
4379.050 5.9109e-17
4380.575 6.2281e-17
4382.100 6.7023e-17
4383.625 5.861e-17
4385.150 5.5691e-17
4386.675 6.5832e-17
4388.200 6.1301e-17
4389.725 6.372e-17
4391.250 7.063e-17
4392.775 6.5406e-17
4394.300 6.3771e-17
4395.825 6.9122e-17
4397.350 6.8082e-17
4398.875 6.3499e-17
4400.400 7.262e-17
4401.925 7.12e-17
4403.450 6.0402e-17
4404.975 6.6594e-17
4406.500 6.9381e-17
4408.025 6.7231e-17
4409.550 6.4368e-17
4411.075 6.0521e-17
4412.600 7.1763e-17
4414.125 6.7531e-17
4415.650 6.6522e-17
4417.175 6.697e-17
4418.700 7.066e-17
4420.225 7.1365e-17
4421.750 6.5733e-17
4423.275 6.7525e-17
4424.800 6.1327e-17
4426.325 5.019e-17
4427.850 5.8014e-17
4429.375 6.0013e-17
4430.900 6.1404e-17
4432.425 5.9936e-17
4433.950 5.938e-17
4435.475 5.8039e-17
4437.000 6.9362e-17
4438.525 6.3935e-17
4440.050 5.0005e-17
4441.575 5.6959e-17
4443.100 6.2501e-17
4444.625 5.8074e-17
4446.150 5.3536e-17
4447.675 5.1461e-17
4449.200 4.8685e-17
4450.725 5.9135e-17
4452.250 6.0287e-17
4453.775 5.2278e-17
4455.300 5.3242e-17
4456.825 5.6695e-17
4458.350 5.987e-17
4459.875 5.5669e-17
4461.400 5.2058e-17
4462.925 4.4786e-17
4464.450 5.0927e-17
4465.975 6.4934e-17
4467.500 5.5596e-17
4469.025 5.397e-17
4470.550 6.2157e-17
4472.075 6.7695e-17
4473.600 6.2156e-17
4475.125 7.2019e-17
4476.650 7.4614e-17
4478.175 5.949e-17
4479.700 5.4041e-17
4481.225 5.3441e-17
4482.750 6.41e-17
4484.275 7.112e-17
4485.800 7.1619e-17
4487.325 6.3162e-17
4488.850 6.3591e-17
4490.375 6.852e-17
4491.900 6.4702e-17
4493.425 6.998e-17
4494.950 6.1029e-17
4496.475 5.4082e-17
4498.000 6.1518e-17
4499.525 5.8882e-17
4501.050 5.4784e-17
4502.575 6.7578e-17
4504.100 5.9394e-17
4505.625 6.4858e-17
4507.150 6.4009e-17
4508.675 7.0218e-17
4510.200 5.8856e-17
4511.725 6.7721e-17
4513.250 6.1409e-17
4514.775 5.8776e-17
4516.300 6.5447e-17
4517.825 6.9018e-17
4519.350 6.0001e-17
4520.875 5.3427e-17
4522.400 5.832e-17
4523.925 6.1846e-17
4525.450 6.9201e-17
4526.975 7.3607e-17
4528.500 6.0716e-17
4530.025 5.3674e-17
4531.550 5.9868e-17
4533.075 6.5316e-17
4534.600 6.7347e-17
4536.125 7.2209e-17
4537.650 6.4263e-17
4539.175 6.5696e-17
4540.700 6.8359e-17
4542.225 6.4806e-17
4543.750 6.1522e-17
4545.275 6.9656e-17
4546.800 6.229e-17
4548.325 6.5447e-17
4549.850 6.5944e-17
4551.375 7.0576e-17
4552.900 7.3432e-17
4554.425 6.9298e-17
4555.950 6.9031e-17
4557.475 6.7289e-17
4559.000 7.4627e-17
4560.525 7.4249e-17
4562.050 7.5872e-17
4563.575 7.1798e-17
4565.100 7.3032e-17
4566.625 7.3049e-17
4568.150 8.19e-17
4569.675 8.1374e-17
4571.200 8.1094e-17
4572.725 7.7952e-17
4574.250 8.3063e-17
4575.775 8.1319e-17
4577.300 7.3828e-17
4578.825 7.9982e-17
4580.350 8.3666e-17
4581.875 8.6063e-17
4583.400 9.1258e-17
4584.925 9.1065e-17
4586.450 9.2575e-17
4587.975 8.86e-17
4589.500 9.2117e-17
4591.025 8.6345e-17
4592.550 8.2808e-17
4594.075 9.2569e-17
4595.600 9.4592e-17
4597.125 9.5782e-17
4598.650 9.7977e-17
4600.175 8.8546e-17
4601.700 8.8769e-17
4603.225 9.0747e-17
4604.750 9.0339e-17
4606.275 9.5832e-17
4607.800 1.0123e-16
4609.325 9.4639e-17
4610.850 1.0141e-16
4612.375 9.4839e-17
4613.900 9.5062e-17
4615.425 9.8956e-17
4616.950 9.692e-17
4618.475 1.0595e-16
4620.000 1.0824e-16
4621.525 1.0117e-16
4623.050 1.1187e-16
4624.575 1.0677e-16
4626.100 1.1022e-16
4627.625 1.1234e-16
4629.150 1.0238e-16
4630.675 1.0315e-16
4632.200 1.1646e-16
4633.725 1.0642e-16
4635.250 1.1101e-16
4636.775 1.1065e-16
4638.300 1.1319e-16
4639.825 1.1238e-16
4641.350 1.0815e-16
4642.875 1.1422e-16
4644.400 1.1893e-16
4645.925 1.2183e-16
4647.450 1.2444e-16
4648.975 1.2361e-16
4650.500 1.2833e-16
4652.025 1.1672e-16
4653.550 1.1568e-16
4655.075 1.2146e-16
4656.600 1.245e-16
4658.125 1.2674e-16
4659.650 1.2314e-16
4661.175 1.2628e-16
4662.700 1.2734e-16
4664.225 1.2578e-16
4665.750 1.2393e-16
4667.275 1.2321e-16
4668.800 1.2856e-16
4670.325 1.2863e-16
4671.850 1.2285e-16
4673.375 1.2227e-16
4674.900 1.2484e-16
4676.425 1.1705e-16
4677.950 1.1633e-16
4679.475 1.296e-16
4681.000 1.2749e-16
4682.525 1.2923e-16
4684.050 1.2851e-16
4685.575 1.2505e-16
4687.100 1.2717e-16
4688.625 1.2564e-16
4690.150 1.2552e-16
4691.675 1.2845e-16
4693.200 1.3078e-16
4694.725 1.335e-16
4696.250 1.3203e-16
4697.775 1.3318e-16
4699.300 1.3651e-16
4700.825 1.3783e-16
4702.350 1.3691e-16
4703.875 1.3728e-16
4705.400 1.3802e-16
4706.925 1.3609e-16
4708.450 1.3394e-16
4709.975 1.3862e-16
4711.500 1.3892e-16
4713.025 1.4191e-16
4714.550 1.3265e-16
4716.075 1.3302e-16
4717.600 1.4597e-16
4719.125 1.335e-16
4720.650 1.3693e-16
4722.175 1.4099e-16
4723.700 1.3299e-16
4725.225 1.3692e-16
4726.750 1.417e-16
4728.275 1.3666e-16
4729.800 1.3555e-16
4731.325 1.3573e-16
4732.850 1.3698e-16
4734.375 1.3277e-16
4735.900 1.3585e-16
4737.425 1.3362e-16
4738.950 1.2477e-16
4740.475 1.2923e-16
4742.000 1.293e-16
4743.525 1.2826e-16
4745.050 1.2672e-16
4746.575 1.2805e-16
4748.100 1.3618e-16
4749.625 1.3384e-16
4751.150 1.2832e-16
4752.675 1.2947e-16
4754.200 1.2204e-16
4755.725 1.2266e-16
4757.250 1.2371e-16
4758.775 1.2404e-16
4760.300 1.2751e-16
4761.825 1.2465e-16
4763.350 1.2718e-16
4764.875 1.2489e-16
4766.400 1.2485e-16
4767.925 1.2194e-16
4769.450 1.2982e-16
4770.975 1.3472e-16
4772.500 1.2597e-16
4774.025 1.3188e-16
4775.550 1.2776e-16
4777.075 1.2067e-16
4778.600 1.2107e-16
4780.125 1.2698e-16
4781.650 1.3196e-16
4783.175 1.2795e-16
4784.700 1.2322e-16
4786.225 1.2584e-16
4787.750 1.2167e-16
4789.275 1.2128e-16
4790.800 1.2473e-16
4792.325 1.256e-16
4793.850 1.2693e-16
4795.375 1.2337e-16
4796.900 1.2646e-16
4798.425 1.227e-16
4799.950 1.1584e-16
4801.475 1.196e-16
4803.000 1.1587e-16
4804.525 1.1663e-16
4806.050 1.1264e-16
4807.575 1.1061e-16
4809.100 1.1686e-16
4810.625 1.1855e-16
4812.150 1.1549e-16
4813.675 1.1653e-16
4815.200 1.1665e-16
4816.725 1.1245e-16
4818.250 1.1476e-16
4819.775 1.1199e-16
4821.300 1.1326e-16
4822.825 1.1249e-16
4824.350 1.0759e-16
4825.875 1.0779e-16
4827.400 1.0937e-16
4828.925 1.1249e-16
4830.450 1.0118e-16
4831.975 1.0396e-16
4833.500 1.1099e-16
4835.025 1.0521e-16
4836.550 1.0442e-16
4838.075 1.0493e-16
4839.600 1.0045e-16
4841.125 9.709e-17
4842.650 9.974e-17
4844.175 9.893e-17
4845.700 1.0082e-16
4847.225 9.255e-17
4848.750 9.6054e-17
4850.275 9.6884e-17
4851.800 1.0043e-16
4853.325 9.7606e-17
4854.850 9.9672e-17
4856.375 1.0966e-16
4857.900 1.0099e-16
4859.425 9.8353e-17
4860.950 9.3923e-17
4862.475 9.8378e-17
4864.000 1.0516e-16
4865.525 9.8109e-17
4867.050 1.0382e-16
4868.575 1.0807e-16
4870.100 9.9211e-17
4871.625 9.8051e-17
4873.150 9.825e-17
4874.675 1.0026e-16
4876.200 1.113e-16
4877.725 1.1113e-16
4879.250 1.0512e-16
4880.775 1.1122e-16
4882.300 1.0802e-16
4883.825 1.1334e-16
4885.350 1.1771e-16
4886.875 1.0966e-16
4888.400 1.1126e-16
4889.925 1.1058e-16
4891.450 1.0935e-16
4892.975 1.1353e-16
4894.500 1.1035e-16
4896.025 1.1222e-16
4897.550 1.0908e-16
4899.075 1.035e-16
4900.600 1.107e-16
4902.125 1.0868e-16
4903.650 1.1246e-16
4905.175 1.1594e-16
4906.700 1.1399e-16
4908.225 1.1104e-16
4909.750 1.1159e-16
4911.275 1.1186e-16
4912.800 1.0913e-16
4914.325 1.0811e-16
4915.850 1.1143e-16
4917.375 1.211e-16
4918.900 1.2255e-16
4920.425 1.1298e-16
4921.950 1.0853e-16
4923.475 1.0844e-16
4925.000 1.0584e-16
4926.525 1.0514e-16
4928.050 1.0545e-16
4929.575 1.0397e-16
4931.100 1.0863e-16
4932.625 1.1133e-16
4934.150 1.1038e-16
4935.675 1.1057e-16
4937.200 1.115e-16
4938.725 1.0569e-16
4940.250 1.0789e-16
4941.775 1.144e-16
4943.300 1.1619e-16
4944.825 1.128e-16
4946.350 1.1095e-16
4947.875 1.1364e-16
4949.400 1.16e-16
4950.925 1.1335e-16
4952.450 1.1465e-16
4953.975 1.1512e-16
4955.500 1.1705e-16
4957.025 1.1313e-16
4958.550 1.1157e-16
4960.075 1.0759e-16
4961.600 1.1836e-16
4963.125 1.2353e-16
4964.650 1.212e-16
4966.175 1.288e-16
4967.700 1.2463e-16
4969.225 1.1804e-16
4970.750 1.2388e-16
4972.275 1.149e-16
4973.800 1.1203e-16
4975.325 1.1611e-16
4976.850 1.2333e-16
4978.375 1.2897e-16
4979.900 1.2318e-16
4981.425 1.1828e-16
4982.950 1.2225e-16
4984.475 1.1616e-16
4986.000 1.132e-16
4987.525 1.2252e-16
